code,name,date,area_ha
10626,Baixo São Francisco,12/1990,32692.69076623284
10627,Submédio São Francisco,12/1990,149818.766582367
10628,Médio São Francisco,12/1990,467763.4192597215
10629,Alto São Francisco,12/1990,137835.00213307075
10626,Baixo São Francisco,1/1991,34306.63152482171
10627,Submédio São Francisco,1/1991,150443.50470923487
10628,Médio São Francisco,1/1991,480131.0566228551
10629,Alto São Francisco,1/1991,145097.40589562606
10626,Baixo São Francisco,2/1991,33718.8669182734
10627,Submédio São Francisco,2/1991,153215.59188082
10628,Médio São Francisco,2/1991,518774.4973194461
10629,Alto São Francisco,2/1991,155673.0971209232
10626,Baixo São Francisco,3/1991,32218.436800557243
10627,Submédio São Francisco,3/1991,146380.77203440748
10628,Médio São Francisco,3/1991,540171.9742926691
10629,Alto São Francisco,3/1991,164152.5159990915
10626,Baixo São Francisco,4/1991,34017.22540521586
10627,Submédio São Francisco,4/1991,149597.16837104832
10628,Médio São Francisco,4/1991,534453.0704523821
10629,Alto São Francisco,4/1991,166878.44298448745
10626,Baixo São Francisco,5/1991,32229.935485892747
10627,Submédio São Francisco,5/1991,149009.98149092856
10628,Médio São Francisco,5/1991,535411.819071748
10629,Alto São Francisco,5/1991,164400.53993232566
10626,Baixo São Francisco,6/1991,30276.685489632942
10627,Submédio São Francisco,6/1991,156375.39449356028
10628,Médio São Francisco,6/1991,513567.7734546449
10629,Alto São Francisco,6/1991,166063.4282453485
10626,Baixo São Francisco,7/1991,31279.55304098872
10627,Submédio São Francisco,7/1991,157421.35515739434
10628,Médio São Francisco,7/1991,514129.67281621794
10629,Alto São Francisco,7/1991,169461.31455051215
10626,Baixo São Francisco,8/1991,34035.400362479704
10627,Submédio São Francisco,8/1991,155508.37452146815
10628,Médio São Francisco,8/1991,514719.88703937735
10629,Alto São Francisco,8/1991,174269.4311561181
10626,Baixo São Francisco,9/1991,32155.181612349545
10627,Submédio São Francisco,9/1991,154630.02676966626
10628,Médio São Francisco,9/1991,516770.1276062141
10629,Alto São Francisco,9/1991,156829.61269082787
10626,Baixo São Francisco,10/1991,33340.20945609044
10627,Submédio São Francisco,10/1991,155704.9179987852
10628,Médio São Francisco,10/1991,457374.2431741292
10629,Alto São Francisco,10/1991,150807.36897265766
10626,Baixo São Francisco,11/1991,33317.47459539114
10627,Submédio São Francisco,11/1991,147588.4125116385
10628,Médio São Francisco,11/1991,467708.6047209043
10629,Alto São Francisco,11/1991,152977.5242401174
10626,Baixo São Francisco,12/1991,35013.73841192752
10627,Submédio São Francisco,12/1991,151136.80882499195
10628,Médio São Francisco,12/1991,436975.70485810406
10629,Alto São Francisco,12/1991,151979.9537480474
10626,Baixo São Francisco,1/1992,33988.19898384449
10627,Submédio São Francisco,1/1992,148461.5944973616
10628,Médio São Francisco,1/1992,502022.4626465045
10629,Alto São Francisco,1/1992,149689.31280509772
10626,Baixo São Francisco,2/1992,33572.61440313867
10627,Submédio São Francisco,2/1992,152195.62144832886
10628,Médio São Francisco,2/1992,544461.1272503481
10629,Alto São Francisco,2/1992,163743.7861971007
10626,Baixo São Francisco,3/1992,31882.20000145056
10627,Submédio São Francisco,3/1992,147755.58832332888
10628,Médio São Francisco,3/1992,568544.1223562176
10629,Alto São Francisco,3/1992,165154.63460070937
10626,Baixo São Francisco,4/1992,33614.50437803356
10627,Submédio São Francisco,4/1992,154165.46416398534
10628,Médio São Francisco,4/1992,552372.1460469777
10629,Alto São Francisco,4/1992,159267.48118663358
10626,Baixo São Francisco,5/1992,33718.56185413914
10627,Submédio São Francisco,5/1992,150349.68963407766
10628,Médio São Francisco,5/1992,548184.5864476074
10629,Alto São Francisco,5/1992,169787.67988196458
10626,Baixo São Francisco,6/1992,31449.1995875484
10627,Submédio São Francisco,6/1992,158407.02759686875
